ID,Actor_ID,Comedy,Fantasy,Romance,Drama,Mystery,Thriller,Action,Biography,Crime,War,Adventure,Sci-Fi,Animation,Musical,History,Horror,Documentary,Sport,News,Family,Music,,Western,Short,Reality-TV,distance
0,nm1165110,3.0,2.0,0.0,7.0,1.0,4.0,17.0,2.0,3.0,0.0,10.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,nm0000129,3.0,2.0,1.0,7.0,4.0,7.0,17.0,0.0,5.0,0.0,10.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.477225575051661
2,nm0147147,2.0,2.0,1.0,2.0,0.0,2.0,12.0,0.0,2.0,1.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.246211251235321
3,nm0879085,0.0,0.0,2.0,7.0,0.0,6.0,15.0,0.0,7.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.831760866327848
4,nm0089217,2.0,5.0,3.0,12.0,0.0,2.0,12.0,1.0,2.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.055385138137417
5,nm0004874,4.0,1.0,0.0,4.0,0.0,9.0,17.0,1.0,9.0,0.0,9.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.219544457292887
6,nm0001401,3.0,5.0,4.0,8.0,3.0,6.0,14.0,3.0,4.0,0.0,12.0,0.0,5.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.219544457292887
7,nm0001600,0.0,2.0,0.0,4.0,1.0,5.0,12.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.591663046625438
8,nm0001472,0.0,3.0,0.0,3.0,0.0,6.0,12.0,0.0,5.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.591663046625438
9,nm0001092,1.0,1.0,0.0,8.0,0.0,5.0,14.0,0.0,4.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.797958971132712
